en,az,ru
We check the papers within a few hours. You can post the transfer now; it goes live once approved.,Sənədləri bir neçə saata yoxlayırıq. Transferi indi yerləşdirə bilərsiniz; təsdiqdən sonra aktiv olur.,Проверим документы за несколько часов. Трансфер можно разместить сейчас — он появится после одобрения.
We send a 6-digit code by SMS. There is no password.,SMS ilə 6 rəqəmli kod göndəririk. Parol yoxdur.,Отправим код из 6 цифр по SMS. Пароля нет.
Wed 30 · 22:00,Ç. 30 · 22:00,Ср 30 · 22:00
Weekly,Həftəlik,Неделя
Weekly & monthly prices,Həftəlik və aylıq qiymətlər,Цены на неделю и месяц
Welcome,Xoş gəldiniz,Добро пожаловать
Welcome back,Yenidən xoş gəldiniz,С возвращением
"Welcome to Rentbutik
Your next ride starts here.","Rentbutik-ə xoş gəldiniz
Növbəti səfəriniz buradan başlayır.","Добро пожаловать в Rentbutik
Следующая поездка начинается здесь."
"Welcome, Emin","Xoş gəldiniz, Emin","Здравствуйте, Эмин"
We’ll review this chat within 24 hours. Hasan won’t be told who reported.,Bu söhbəti 24 saat ərzində yoxlayacağıq. Həsənə kimin şikayət etdiyi bildirilməyəcək.,"Проверим чат в течение 24 часов. Гасану не скажут, кто пожаловался."
We’ll tell you as soon as a driver posts this route.,Sürücü bu marşrutu yerləşdirən kimi xəbər verəcəyik.,"Сообщим, как только водитель разместит этот маршрут."
We’ll tell you as soon as one is free near you.,Yaxınlıqda boş avtomobil olan kimi xəbər verəcəyik.,"Сообщим, как только рядом освободится машина."
We’ll tell you when one frees up.,Boşalan kimi xəbər verəcəyik.,"Сообщим, когда освободится."
What are you here to do today?,Bu gün nə etmək istəyirsiniz?,Что вы хотите сделать сегодня?
When,Nə vaxt,Когда
Where exactly?,Dəqiq harada?,Где именно?
Where to,Hara,Куда
Whole car,Bütün avtomobil,Вся машина
Whole car ₼160,Bütün avtomobil ₼160,Вся машина ₼160
With driver,Sürücü ilə,С водителем
Work,İş,Работа
Wrong or expired code · Resend,Kod səhvdir və ya vaxtı bitib · Yenidən göndər,Неверный или устаревший код · Отправить снова
YOUR DETAILS,MƏLUMATLARINIZ,ВАШИ ДАННЫЕ
Year,İl,Год
Yearly,İllik,Год
Yesterday,Dünən,Вчера
You can’t end your ride here,Gedişi burada bitirə bilməzsiniz,Здесь нельзя завершить поездку
You earn,Qazancınız,Вы получите
You earned,Qazandınız,Вы заработали
You get ₼31.50 / seat · ₼108 whole car · fee 10 %,Sizə ₼31.50 / yer · bütün avtomobil ₼108 · haqq 10 %,Вы получите ₼31.50 / место · вся машина ₼108 · комиссия 10 %
You get ₼760 back to Visa •••• 4242 in 3–5 days. The ₼33 service fee isn’t refunded.,₼760 3–5 günə Visa •••• 4242-yə qaytarılacaq. ₼33 xidmət haqqı qaytarılmır.,₼760 вернутся на Visa •••• 4242 за 3–5 дней. Комиссия ₼33 не возвращается.
You have arrived,Çatdınız,Вы на месте
You rated this trip,Bu səfəri qiymətləndirdiniz,Вы оценили поездку
You save vs pay-as-you-go,Adi tariflə müqayisədə qənaət,Экономия против обычного тарифа
You won’t get messages from Hasan. Your trips stay in Trips.,Həsəndən mesaj almayacaqsınız. Səfərləriniz Səfərlərdə qalır.,Вы не будете получать сообщения от Гасана. Поездки останутся в Поездках.
Your Porsche 911 GT3 RS is still held for you.,Porsche 911 GT3 RS hələ də sizin üçün saxlanılır.,Porsche 911 GT3 RS всё ещё держим для вас.
"Your account, trips and messages stay saved. You can sign back in any time.","Hesabınız, səfərləriniz və mesajlarınız saxlanılır. İstənilən vaxt yenidən daxil ola bilərsiniz.","Аккаунт, поездки и сообщения сохранятся. Войти снова можно в любой момент."
"Your booking is confirmed
Mercedes-AMG GT · 22–23 Sep","Sifarişiniz təsdiqləndi
Mercedes-AMG GT · 22–23 sen","Бронь подтверждена
Mercedes-AMG GT · 22–23 сен"
"Your booking was accepted.
Mercedes-AMG GT · 22–23 Sep","Sifarişiniz qəbul edildi.
Mercedes-AMG GT · 22–23 sen","Бронь принята.
Mercedes-AMG GT · 22–23 сен"
Your cars,Avtomobilləriniz,Ваши машины
Your code,Kodunuz,Ваш код
Your details,Məlumatlarınız,Ваши данные
"Your listing is live
BMW X5 M-Sport · ₼150 per day","Elanınız aktivdir
BMW X5 M-Sport · gündə ₼150","Объявление опубликовано
BMW X5 M-Sport · ₼150 в сутки"
"Your name and documents come from MyGov. To change them, update them in MyGov.",Adınız və sənədləriniz MyGov-dan gəlir. Dəyişmək üçün MyGov-da yeniləyin.,"Имя и документы берутся из MyGov. Чтобы изменить, обновите их в MyGov."
Your pin on the map,Xəritədəki pininiz,Ваша метка на карте
Your return is recorded,Qaytarmanız qeydə alındı,Возврат записан
Your return photo shows the car outside the zone,Qaytarma fotosunda avtomobil zonadan kənardadır,На фото возврата машина вне зоны
Your ride continues while you extend it.,Uzadarkən gediş davam edir.,"Поездка продолжается, пока вы продлеваете."
Your transfers,Transferləriniz,Ваши трансферы
Your wallet is empty and Visa •••• 4242 was declined.,Pul kisəniz boşdur və Visa •••• 4242 rədd edildi.,"Кошелёк пуст, а Visa •••• 4242 отклонена."
Your wallet is empty and Visa •••• 4242 was declined. Your golf cart reservation is kept.,Pul kisəniz boşdur və Visa •••• 4242 rədd edildi. Qolf karı rezerviniz saxlanılır.,"Кошелёк пуст, а Visa •••• 4242 отклонена. Резерв гольф-кара сохранён."
You’re verified,Təsdiqləndiniz,Вы подтверждены
again,yenidən,снова
bookings,sifariş,брони
name@example.com,ad@misal.az,имя@пример.az
paid,ödənilib,оплачено
paid out this month,bu ay ödənilib,выплачено за месяц
upcoming,qarşıda,впереди
views,baxış,просмотры
₼0.12 / min,₼0.12 / dəq,₼0.12 / мин
₼0.13 / min,₼0.13 / dəq,₼0.13 / мин
₼0.14 / min,₼0.14 / dəq,₼0.14 / мин
₼0.15 / min,₼0.15 / dəq,₼0.15 / мин
₼0.16 / min,₼0.16 / dəq,₼0.16 / мин
₼0.17 / min,₼0.17 / dəq,₼0.17 / мин
₼0.18 / min,₼0.18 / dəq,₼0.18 / мин
₼0.19 / min,₼0.19 / dəq,₼0.19 / мин
₼0.20 / min,₼0.20 / dəq,₼0.20 / мин
₼0.21 / min,₼0.21 / dəq,₼0.21 / мин
₼0.22 / min,₼0.22 / dəq,₼0.22 / мин
₼0.23 / min,₼0.23 / dəq,₼0.23 / мин
₼0.25/min,₼0.25/dəq,₼0.25/мин
₼0.35 / km,₼0.35 / km,₼0.35 / км
"₼1 unlock · ₼5 hold, released after the ride","₼1 açma · ₼5 blok, gedişdən sonra azad edilir","₼1 разблокировка · ₼5 блокировка, снимается после поездки"
₼100 deposit held separately,₼100 depozit ayrıca bloklanır,Депозит ₼100 блокируется отдельно
₼100 returned,₼100 qaytarıldı,₼100 возвращено
₼100 · In review,₼100 · Yoxlanılır,₼100 · На проверке
₼15 / seat,₼15 / yer,₼15 / место
₼15 extra · New ride total ₼31,₼15 əlavə · Yeni cəm ₼31,+₼15 · Новый итог ₼31
₼15/hour,₼15/saat,₼15/час
₼220 / day,₼220 / gün,₼220 / сутки
₼25 / seat,₼25 / yer,₼25 / место
₼30 / seat,₼30 / yer,₼30 / место
₼300 / month,₼300 / ay,₼300 / месяц
₼35 / seat · ₼120 whole car,₼35 / yer · bütün avtomobil ₼120,₼35 / место · вся машина ₼120
₼380 / day,₼380 / gün,₼380 / сутки
₼40 / seat,₼40 / yer,₼40 / место
₼40 extension − ₼2 discount = ₼38,₼40 uzatma − ₼2 endirim = ₼38,₼40 продление − ₼2 скидка = ₼38
₼40 ride − ₼2 discount. The deposit release can take a few days to show at your bank.,₼40 gediş − ₼2 endirim. Depozitin azad olunması bankda bir neçə günə görünə bilər.,₼40 поездка − ₼2 скидка. Разблокировка депозита может занять несколько дней в банке.
₼45 / seat,₼45 / yer,₼45 / место
₼460 refunded,₼460 qaytarıldı,₼460 возвращено
₼460 to Visa •••• 4242,₼460 Visa •••• 4242-yə,₼460 на Visa •••• 4242
₼50 / day,₼50 / gün,₼50 / сутки
₼500 excess per claim. Coverage is subject to the rental agreement.,Hər hadisəyə ₼500 franşiza. Sığorta icarə müqaviləsinə əsasən.,Франшиза ₼500 за случай. Покрытие — по договору аренды.
₼60/day,₼60/gün,₼60/сутки
"₼612 of ₼1,500","₼1,500-dan ₼612","₼612 из ₼1,500"
₼650 / day,₼650 / gün,₼650 / сутки
₼700 / day,₼700 / gün,₼700 / сутки
₼793 · deposit ₼100 incl.,₼793 · ₼100 depozit daxil,₼793 · вкл. депозит ₼100
₼900 / day,₼900 / gün,₼900 / сутки
